+ 1616814367.150708400 /scripts/functions/rvmrc : __rvm_save_variables()  3 > shift
+ 1616814367.157718800 /scripts/functions/rvmrc : __rvm_save_variables()  156 > for __key in "$@"
+ 1616814367.167003000 /scripts/functions/rvmrc : __rvm_save_variables()  6 > eval 'rvmrc_tools_read_ruby+=( "${__key}=${rvm_current_rvmrc}" )'
++ 1616814367.174318600 /scripts/functions/rvmrc : __rvm_save_variables()  0 > rvmrc_tools_read_ruby+=("${__key}=${rvm_current_rvmrc}")
+ 1616814367.183240600 /scripts/functions/rvmrc : __rvm_save_variables()  156 > for __key in "$@"
+ 1616814367.190165100 /scripts/functions/rvmrc : __rvm_save_variables()  6 > eval 'rvmrc_tools_read_ruby+=( "${__key}=${result}" )'
++ 1616814367.197288700 /scripts/functions/rvmrc : __rvm_save_variables()  0 > rvmrc_tools_read_ruby+=("${__key}=${result}")
+ 1616814367.204836900 /scripts/functions/rvmrc : __rvm_save_variables()  156 > for __key in "$@"
+ 1616814367.212328900 /scripts/functions/rvmrc : __rvm_save_variables()  6 > eval 'rvmrc_tools_read_ruby+=( "${__key}=${current_result}" )'
++ 1616814367.218502200 /scripts/functions/rvmrc : __rvm_save_variables()  0 > rvmrc_tools_read_ruby+=("${__key}=${current_result}")
+ 1616814367.228789500 /scripts/functions/rvmrc : __rvm_save_variables()  156 > for __key in "$@"
+ 1616814367.236550000 /scripts/functions/rvmrc : __rvm_save_variables()  6 > eval 'rvmrc_tools_read_ruby+=( "${__key}=${rvm_token}" )'
++ 1616814367.244129800 /scripts/functions/rvmrc : __rvm_save_variables()  0 > rvmrc_tools_read_ruby+=("${__key}=${rvm_token}")
+ 1616814367.252049200 /scripts/functions/rvmrc : __rvm_save_variables()  156 > for __key in "$@"
+ 1616814367.260976900 /scripts/functions/rvmrc : __rvm_save_variables()  6 > eval 'rvmrc_tools_read_ruby+=( "${__key}=${next_token}" )'
++ 1616814367.270054400 /scripts/functions/rvmrc : __rvm_save_variables()  0 > rvmrc_tools_read_ruby+=("${__key}=${next_token}")
+ 1616814367.277237400 /scripts/functions/rvmrc : __rvm_save_variables()  156 > for __key in "$@"
+ 1616814367.284993000 /scripts/functions/rvmrc : __rvm_save_variables()  6 > eval 'rvmrc_tools_read_ruby+=( "${__key}=${rvm_action}" )'
++ 1616814367.291645500 /scripts/functions/rvmrc : __rvm_save_variables()  0 > rvmrc_tools_read_ruby+=("${__key}=${rvm_action}")
+ 1616814367.298942300 /scripts/functions/rvmrc : __rvm_save_variables()  156 > for __key in "$@"
+ 1616814367.307242800 /scripts/functions/rvmrc : __rvm_save_variables()  6 > eval 'rvmrc_tools_read_ruby+=( "${__key}=${_string}" )'
++ 1616814367.316770800 /scripts/functions/rvmrc : __rvm_save_variables()  0 > rvmrc_tools_read_ruby+=("${__key}=${_string}")
+ 1616814367.326043700 /scripts/functions/rvmrc : __rvm_rvmrc_tools_read_ruby()  7 > rvm_current_rvmrc=
+ 1616814367.336346900 /scripts/functions/rvmrc : __rvm_rvmrc_tools_read_ruby()  9 > rvm_action=install
+ 1616814367.344458900 /scripts/functions/rvmrc : __rvm_rvmrc_tools_read_ruby()  9 > rvm_trust_rvmrcs_flag=1
+ 1616814367.353251400 /scripts/functions/rvmrc : __rvm_rvmrc_tools_read_ruby()  9 > __rvm_project_rvmrc ./.ruby-version
+ 1616814367.360271600 /scripts/functions/rvmrc_project : __rvm_project_rvmrc()  1 > export __rvm_project_rvmrc_lock
+ 1616814367.369619000 /scripts/functions/rvmrc_project : __rvm_project_rvmrc()  2 > : __rvm_project_rvmrc_lock:0
+ 1616814367.381680300 /scripts/functions/rvmrc_project : __rvm_project_rvmrc()  3 > : __rvm_project_rvmrc_lock:1
+ 1616814367.389649200 /scripts/functions/rvmrc_project : __rvm_project_rvmrc()  4 > ((  __rvm_project_rvmrc_lock > 1  ))
+ 1616814367.397057900 /scripts/functions/rvmrc_project : __rvm_project_rvmrc()  8 > typeset working_dir found_file rvm_trustworthiness_result save_PATH
+ 1616814367.404249300 /scripts/functions/rvmrc_project : __rvm_project_rvmrc()  11 > working_dir=./.ruby-version
